customer_id,segment,acquisition_channel,uses_escrow,acquisition_cost_inr,avg_order_value_inr,orders_per_year,tenure_days,churned
148,Ad-Hoc Sellers,Paid Social,0,150,115.27,2,8,1
149,Students,Paid Social,0,150,99.24,1,63,1
150,Homepreneurs,Paid Social,0,150,109.28,42,365,0
151,Ad-Hoc Sellers,Paid Social,0,150,100.04,1,36,1
152,Students,Paid Social,0,150,110.05,1,72,1
153,Homepreneurs,Campus Activation,0,50,108.66,34,130,1
154,Ad-Hoc Sellers,Paid Social,1,150,135.93,0,3,1
155,Homepreneurs,Paid Social,1,150,148.76,17,161,1
156,Ad-Hoc Sellers,Campus Activation,1,50,167.92,3,25,1
157,Homepreneurs,Paid Social,0,150,141.05,28,24,1
158,Students,Paid Social,0,150,123.16,5,46,1
159,Homepreneurs,Campus Activation,0,50,124.28,32,106,1
160,Ad-Hoc Sellers,Paid Social,1,150,147.64,0,105,1
161,Students,Organic,1,0,151.13,0,365,0
162,Ad-Hoc Sellers,Paid Social,0,150,129.74,2,158,1
163,Students,Paid Social,0,150,120.74,4,19,1
164,Students,Paid Social,1,150,153.39,2,49,1
165,Students,Paid Social,0,150,78.71,10,58,1
166,Students,Paid Social,0,150,139.61,4,34,1
167,Students,Paid Social,0,150,104.37,3,33,1
168,Ad-Hoc Sellers,Paid Social,0,150,110.87,1,30,1
169,Homepreneurs,Paid Social,0,150,143.08,21,365,0
170,Ad-Hoc Sellers,Paid Social,1,150,149.01,2,35,1
171,Ad-Hoc Sellers,Organic,0,0,102.15,1,85,1
172,Students,Campus Activation,0,50,138.34,6,221,1
173,Students,Organic,0,0,130.09,4,159,1
174,Students,Campus Activation,0,50,68.0,2,85,1
175,Students,Paid Social,1,150,178.55,2,148,1
176,Students,Paid Social,1,150,153.82,6,83,1
177,Homepreneurs,Campus Activation,0,50,96.78,33,81,1
178,Students,Campus Activation,0,50,125.25,5,15,1
179,Ad-Hoc Sellers,Paid Social,0,150,104.88,0,110,1
180,Homepreneurs,Paid Social,0,150,115.65,25,246,1
181,Ad-Hoc Sellers,Paid Social,1,150,171.72,2,32,1
182,Students,Organic,0,0,144.56,4,42,1
183,Homepreneurs,Organic,0,0,143.56,8,365,0
184,Ad-Hoc Sellers,Paid Social,0,150,113.47,0,18,1
185,Homepreneurs,Paid Social,0,150,109.51,40,365,0
186,Students,Paid Social,1,150,153.52,3,117,1
187,Ad-Hoc Sellers,Organic,0,0,126.09,0,69,1
188,Homepreneurs,Campus Activation,0,50,131.55,22,365,0
189,Ad-Hoc Sellers,Paid Social,1,150,132.9,3,214,1
190,Students,Organic,0,0,136.55,2,75,1
191,Ad-Hoc Sellers,Campus Activation,0,50,119.25,1,0,1
192,Students,Paid Social,1,150,144.74,2,20,1
193,Students,Campus Activation,1,50,113.65,2,216,1
194,Ad-Hoc Sellers,Campus Activation,1,50,133.38,3,24,1
195,Homepreneurs,Campus Activation,1,50,138.83,24,365,0
196,Students,Paid Social,0,150,100.32,5,14,1
197,Students,Campus Activation,1,50,136.68,5,0,1
198,Students,Paid Social,0,150,135.11,5,112,1
199,Homepreneurs,Campus Activation,0,50,110.74,16,3,1
200,Homepreneurs,Paid Social,1,150,157.77,25,365,0
201,Students,Paid Social,0,150,154.6,0,190,1
202,Students,Paid Social,1,150,143.98,3,153,1
203,Ad-Hoc Sellers,Paid Social,1,150,162.07,8,89,1
204,Students,Paid Social,1,150,133.19,2,365,0
205,Ad-Hoc Sellers,Paid Social,0,150,124.15,3,7,1
206,Ad-Hoc Sellers,Paid Social,1,150,124.79,4,15,1
207,Students,Paid Social,0,150,106.5,2,17,1
208,Homepreneurs,Organic,0,0,107.33,34,365,0
209,Ad-Hoc Sellers,Paid Social,1,150,170.67,0,65,1
210,Homepreneurs,Paid Social,0,150,95.43,23,365,0
211,Homepreneurs,Organic,0,0,117.43,32,73,1
212,Ad-Hoc Sellers,Paid Social,0,150,130.88,2,39,1
213,Students,Paid Social,1,150,127.31,4,3,1
214,Ad-Hoc Sellers,Campus Activation,1,50,122.36,0,23,1
215,Students,Paid Social,1,150,138.34,4,261,1
216,Students,Paid Social,0,150,120.01,2,4,1
217,Homepreneurs,Campus Activation,0,50,124.65,25,365,0
218,Homepreneurs,Campus Activation,1,50,148.86,36,91,1
219,Students,Paid Social,0,150,116.74,3,3,1
220,Students,Organic,0,0,111.21,14,64,1
221,Homepreneurs,Paid Social,0,150,138.43,24,365,0
222,Ad-Hoc Sellers,Paid Social,0,150,136.22,2,129,1
223,Homepreneurs,Paid Social,0,150,131.99,12,90,1
224,Students,Organic,1,0,133.56,0,85,1
225,Homepreneurs,Organic,0,0,94.26,43,223,1
226,Ad-Hoc Sellers,Organic,1,0,120.9,1,17,1
227,Homepreneurs,Paid Social,0,150,137.7,15,365,0
228,Homepreneurs,Paid Social,0,150,148.03,22,62,1
229,Homepreneurs,Paid Social,0,150,139.01,14,112,1
230,Homepreneurs,Organic,1,0,130.82,31,279,1
231,Homepreneurs,Organic,0,0,121.43,23,365,0
232,Students,Paid Social,0,150,135.33,7,259,1
233,Students,Paid Social,1,150,110.91,8,19,1
234,Ad-Hoc Sellers,Paid Social,0,150,95.52,0,14,1
235,Ad-Hoc Sellers,Paid Social,1,150,145.6,4,96,1
236,Ad-Hoc Sellers,Campus Activation,0,50,131.65,6,26,1
237,Students,Paid Social,0,150,88.77,5,63,1
238,Ad-Hoc Sellers,Paid Social,1,150,131.53,2,99,1
239,Ad-Hoc Sellers,Paid Social,0,150,112.47,1,46,1
240,Homepreneurs,Paid Social,0,150,131.35,24,68,1
241,Homepreneurs,Paid Social,1,150,163.85,22,164,1
242,Students,Campus Activation,0,50,124.25,9,178,1
243,Homepreneurs,Paid Social,0,150,117.96,21,117,1
244,Students,Paid Social,1,150,147.23,6,89,1
245,Homepreneurs,Paid Social,0,150,128.19,19,365,0
246,Homepreneurs,Campus Activation,1,50,170.99,11,365,0
247,Homepreneurs,Paid Social,1,150,149.77,26,365,0
248,Homepreneurs,Paid Social,0,150,136.12,5,365,0
249,Ad-Hoc Sellers,Paid Social,1,150,139.81,1,8,1
250,Students,Paid Social,0,150,132.7,8,14,1
251,Students,Organic,0,0,121.05,3,99,1
252,Homepreneurs,Paid Social,1,150,186.73,12,365,0
253,Students,Paid Social,1,150,108.9,4,125,1
254,Students,Paid Social,0,150,104.04,3,78,1
255,Homepreneurs,Paid Social,0,150,87.68,50,365,0
256,Students,Paid Social,1,150,134.44,2,8,1
257,Homepreneurs,Paid Social,0,150,115.43,16,365,0
258,Homepreneurs,Paid Social,0,150,125.29,24,365,0
259,Homepreneurs,Organic,0,0,137.87,14,83,1
260,Students,Campus Activation,0,50,101.19,3,346,1
261,Students,Paid Social,0,150,134.62,4,93,1
262,Ad-Hoc Sellers,Paid Social,1,150,124.55,0,19,1
263,Students,Campus Activation,0,50,113.07,1,67,1
264,Homepreneurs,Paid Social,0,150,138.33,8,365,0
265,Ad-Hoc Sellers,Campus Activation,1,50,91.63,4,10,1
266,Homepreneurs,Paid Social,0,150,99.95,9,310,1
267,Homepreneurs,Paid Social,1,150,191.29,30,65,1
268,Ad-Hoc Sellers,Paid Social,1,150,141.63,2,49,1
269,Ad-Hoc Sellers,Paid Social,0,150,108.71,3,31,1
270,Students,Paid Social,0,150,152.14,3,126,1
271,Homepreneurs,Paid Social,0,150,112.26,21,365,0
272,Students,Paid Social,0,150,154.34,4,69,1
273,Students,Paid Social,0,150,136.7,4,65,1
274,Ad-Hoc Sellers,Paid Social,0,150,115.41,3,215,1
275,Students,Paid Social,0,150,146.4,2,69,1
276,Homepreneurs,Campus Activation,0,50,96.9,42,365,0
277,Ad-Hoc Sellers,Paid Social,1,150,164.08,3,28,1
278,Students,Paid Social,0,150,117.77,1,199,1
279,Homepreneurs,Paid Social,1,150,149.34,18,365,0
280,Homepreneurs,Paid Social,1,150,123.22,40,254,1
281,Students,Paid Social,0,150,136.6,2,31,1
282,Homepreneurs,Paid Social,0,150,84.86,21,103,1
283,Students,Paid Social,0,150,116.93,1,54,1
284,Students,Paid Social,0,150,114.23,2,16,1
285,Homepreneurs,Paid Social,0,150,116.8,51,283,1
286,Ad-Hoc Sellers,Paid Social,0,150,125.24,0,9,1
287,Ad-Hoc Sellers,Paid Social,0,150,111.01,1,16,1
288,Ad-Hoc Sellers,Paid Social,1,150,136.19,3,20,1
289,Students,Paid Social,0,150,147.03,3,99,1
290,Students,Paid Social,0,150,90.23,6,49,1
291,Homepreneurs,Paid Social,1,150,169.27,37,365,0
292,Homepreneurs,Campus Activation,0,50,130.02,22,365,0
293,Homepreneurs,Paid Social,0,150,119.22,39,202,1
294,Ad-Hoc Sellers,Paid Social,0,150,133.49,2,46,1
295,Students,Organic,1,0,118.4,1,150,1
296,Ad-Hoc Sellers,Paid Social,0,150,154.62,1,18,1
297,Students,Organic,0,0,136.41,6,40,1
298,Ad-Hoc Sellers,Paid Social,1,150,131.96,0,331,1
299,Homepreneurs,Paid Social,1,150,143.08,14,13,1
300,Homepreneurs,Paid Social,0,150,131.97,16,200,1
301,Homepreneurs,Paid Social,0,150,138.69,26,193,1
302,Students,Campus Activation,0,50,122.78,3,81,1
303,Students,Campus Activation,0,50,108.41,4,147,1
304,Students,Paid Social,0,150,114.56,1,73,1
305,Students,Organic,0,0,113.6,3,94,1
306,Students,Paid Social,0,150,140.6,11,34,1
307,Ad-Hoc Sellers,Paid Social,0,150,109.62,4,15,1
308,Students,Paid Social,0,150,81.2,8,10,1
309,Ad-Hoc Sellers,Paid Social,1,150,164.92,2,30,1
310,Homepreneurs,Organic,0,0,102.75,26,365,0
311,Students,Paid Social,1,150,109.69,1,11,1
312,Students,Paid Social,1,150,124.64,4,50,1
313,Students,Paid Social,1,150,115.32,3,34,1
314,Homepreneurs,Paid Social,0,150,100.4,12,270,1
315,Students,Campus Activation,0,50,130.51,3,365,0
316,Ad-Hoc Sellers,Organic,0,0,134.33,8,25,1
317,Students,Paid Social,0,150,123.86,2,49,1
318,Students,Paid Social,0,150,146.95,5,127,1
319,Homepreneurs,Campus Activation,0,50,99.9,24,365,0
320,Homepreneurs,Organic,0,0,127.5,11,365,0
321,Homepreneurs,Campus Activation,1,50,143.11,24,365,0
322,Homepreneurs,Organic,1,0,167.9,19,313,1
323,Ad-Hoc Sellers,Paid Social,0,150,114.35,1,128,1
324,Homepreneurs,Organic,0,0,94.92,30,322,1
325,Students,Campus Activation,0,50,124.55,2,39,1
326,Homepreneurs,Paid Social,1,150,178.24,3,134,1
327,Students,Paid Social,1,150,150.55,0,320,1
328,Homepreneurs,Campus Activation,0,50,126.83,36,365,0
329,Homepreneurs,Paid Social,0,150,153.87,28,43,1
330,Homepreneurs,Organic,1,0,151.83,31,365,0
331,Homepreneurs,Paid Social,0,150,127.01,16,365,0
332,Students,Organic,1,0,186.31,2,124,1
333,Ad-Hoc Sellers,Paid Social,0,150,111.6,10,155,1
334,Homepreneurs,Paid Social,1,150,138.76,23,365,0
335,Homepreneurs,Paid Social,1,150,178.68,7,71,1
336,Ad-Hoc Sellers,Paid Social,0,150,157.05,1,26,1
337,Ad-Hoc Sellers,Paid Social,0,150,111.13,4,31,1
338,Homepreneurs,Paid Social,0,150,116.5,41,365,0
339,Ad-Hoc Sellers,Paid Social,1,150,122.16,2,81,1
340,Ad-Hoc Sellers,Paid Social,0,150,104.26,2,60,1
341,Homepreneurs,Paid Social,0,150,129.03,19,251,1
342,Students,Paid Social,0,150,132.35,2,14,1
343,Homepreneurs,Paid Social,0,150,111.66,23,365,0
344,Homepreneurs,Paid Social,0,150,120.94,29,174,1
345,Students,Campus Activation,0,50,98.67,2,17,1
346,Students,Paid Social,0,150,130.4,9,57,1
347,Students,Paid Social,0,150,117.35,7,35,1
348,Students,Campus Activation,0,50,119.37,3,70,1
349,Homepreneurs,Campus Activation,0,50,158.05,19,365,0
350,Ad-Hoc Sellers,Paid Social,0,150,127.51,0,20,1
351,Homepreneurs,Paid Social,1,150,157.41,38,365,0
352,Ad-Hoc Sellers,Paid Social,0,150,122.69,2,3,1
353,Students,Paid Social,0,150,101.45,4,37,1
354,Students,Paid Social,1,150,142.63,3,19,1
355,Homepreneurs,Campus Activation,1,50,142.91,14,334,1
356,Students,Campus Activation,0,50,96.44,3,35,1
357,Students,Paid Social,0,150,143.63,4,167,1
358,Students,Organic,0,0,119.26,1,22,1
359,Students,Paid Social,1,150,143.07,4,313,1
360,Homepreneurs,Paid Social,0,150,120.5,14,365,0
361,Ad-Hoc Sellers,Campus Activation,1,50,138.34,5,56,1
362,Homepreneurs,Organic,0,0,171.64,56,241,1
363,Ad-Hoc Sellers,Organic,0,0,165.44,1,231,1
364,Ad-Hoc Sellers,Paid Social,0,150,106.8,3,2,1
365,Ad-Hoc Sellers,Paid Social,1,150,120.61,1,124,1
366,Students,Paid Social,1,150,163.7,2,57,1
367,Homepreneurs,Campus Activation,1,50,126.38,18,365,0
368,Students,Campus Activation,0,50,125.09,3,246,1
369,Students,Paid Social,1,150,131.68,4,203,1
370,Students,Paid Social,0,150,109.62,2,48,1
371,Students,Organic,1,0,142.65,2,77,1
372,Students,Paid Social,0,150,114.82,0,61,1
373,Homepreneurs,Paid Social,1,150,130.05,24,365,0
374,Students,Paid Social,0,150,138.48,1,30,1
375,Students,Paid Social,0,150,76.39,12,56,1
376,Students,Organic,1,0,146.04,2,28,1
377,Homepreneurs,Paid Social,0,150,109.6,33,365,0
378,Ad-Hoc Sellers,Campus Activation,1,50,150.71,2,16,1
379,Students,Paid Social,0,150,104.0,1,81,1
380,Ad-Hoc Sellers,Paid Social,0,150,138.32,1,3,1
381,Students,Campus Activation,0,50,148.26,4,125,1
382,Ad-Hoc Sellers,Campus Activation,1,50,164.36,1,20,1
383,Ad-Hoc Sellers,Paid Social,1,150,138.9,3,42,1
384,Ad-Hoc Sellers,Campus Activation,0,50,130.71,6,22,1
385,Homepreneurs,Organic,0,0,143.55,29,365,0
386,Students,Organic,1,0,174.43,8,208,1
387,Students,Organic,1,0,126.95,2,32,1
388,Students,Organic,0,0,119.61,0,51,1
389,Homepreneurs,Campus Activation,1,50,88.71,25,365,0
390,Homepreneurs,Paid Social,0,150,148.72,38,365,0
391,Students,Paid Social,1,150,158.22,3,125,1
392,Students,Paid Social,0,150,122.05,3,50,1
393,Students,Organic,0,0,79.75,0,49,1
394,Ad-Hoc Sellers,Paid Social,0,150,110.78,3,22,1
395,Students,Paid Social,0,150,117.69,2,235,1
396,Homepreneurs,Campus Activation,0,50,103.71,15,314,1
397,Ad-Hoc Sellers,Paid Social,0,150,77.55,1,1,1
398,Students,Paid Social,0,150,124.67,2,9,1
399,Homepreneurs,Campus Activation,1,50,121.14,23,365,0
400,Homepreneurs,Campus Activation,1,50,151.81,15,300,1
401,Ad-Hoc Sellers,Paid Social,0,150,138.13,2,8,1
402,Ad-Hoc Sellers,Paid Social,1,150,156.6,1,16,1
403,Students,Paid Social,0,150,106.31,5,64,1
404,Homepreneurs,Paid Social,0,150,121.84,12,355,1
405,Ad-Hoc Sellers,Paid Social,1,150,165.79,0,21,1
406,Homepreneurs,Paid Social,0,150,135.29,22,365,0
407,Students,Campus Activation,0,50,160.44,9,41,1
408,Students,Campus Activation,0,50,115.61,4,365,0
409,Students,Paid Social,0,150,131.02,4,20,1
410,Students,Organic,0,0,114.26,1,60,1
411,Ad-Hoc Sellers,Organic,0,0,105.31,2,23,1
412,Homepreneurs,Paid Social,0,150,125.55,12,365,0
413,Students,Paid Social,0,150,96.91,2,69,1
414,Homepreneurs,Organic,1,0,183.08,16,365,0
415,Homepreneurs,Campus Activation,0,50,123.82,23,95,1
416,Homepreneurs,Paid Social,0,150,120.3,18,90,1
417,Ad-Hoc Sellers,Campus Activation,0,50,123.72,0,10,1
418,Ad-Hoc Sellers,Paid Social,0,150,147.81,2,147,1
419,Ad-Hoc Sellers,Paid Social,0,150,76.15,5,19,1
420,Homepreneurs,Paid Social,0,150,115.35,25,343,1
421,Students,Organic,0,0,114.38,2,62,1
422,Students,Paid Social,1,150,109.02,0,191,1
423,Students,Paid Social,0,150,136.24,5,72,1
424,Ad-Hoc Sellers,Paid Social,0,150,139.65,4,35,1
425,Students,Paid Social,1,150,121.22,6,151,1
426,Students,Campus Activation,0,50,136.06,5,67,1
427,Homepreneurs,Paid Social,0,150,152.96,21,365,0
428,Students,Paid Social,0,150,123.2,4,50,1
429,Students,Campus Activation,1,50,93.28,4,49,1
430,Homepreneurs,Paid Social,1,150,113.42,15,365,0
431,Homepreneurs,Paid Social,0,150,125.76,23,365,0
432,Students,Campus Activation,0,50,76.56,2,79,1
433,Students,Paid Social,1,150,148.29,5,53,1
434,Ad-Hoc Sellers,Paid Social,1,150,135.67,0,32,1
435,Students,Campus Activation,1,50,169.39,7,5,1
436,Students,Paid Social,1,150,151.25,2,255,1
437,Ad-Hoc Sellers,Paid Social,0,150,127.11,2,227,1
438,Homepreneurs,Paid Social,1,150,151.68,37,365,0
439,Homepreneurs,Organic,0,0,126.63,12,139,1
440,Students,Organic,0,0,73.25,2,26,1
441,Homepreneurs,Paid Social,0,150,130.48,34,365,0
442,Students,Paid Social,1,150,140.64,3,34,1
443,Students,Paid Social,0,150,114.52,1,25,1
444,Homepreneurs,Paid Social,0,150,85.73,10,175,1
445,Ad-Hoc Sellers,Paid Social,0,150,108.31,2,29,1
446,Students,Campus Activation,0,50,145.24,2,10,1
447,Students,Paid Social,0,150,120.37,10,207,1
448,Ad-Hoc Sellers,Paid Social,0,150,107.17,2,56,1
449,Ad-Hoc Sellers,Organic,1,0,131.53,0,38,1
450,Homepreneurs,Paid Social,0,150,130.84,40,365,0
451,Homepreneurs,Paid Social,1,150,154.23,4,365,0
452,Ad-Hoc Sellers,Paid Social,0,150,128.02,2,64,1
453,Homepreneurs,Paid Social,0,150,152.42,6,365,0
454,Ad-Hoc Sellers,Organic,0,0,127.74,3,21,1
455,Students,Organic,1,0,169.72,1,117,1
456,Students,Campus Activation,0,50,131.79,3,41,1
457,Students,Paid Social,0,150,113.03,2,365,0
458,Ad-Hoc Sellers,Organic,0,0,111.51,0,13,1
459,Homepreneurs,Paid Social,1,150,117.32,18,365,0
460,Homepreneurs,Paid Social,0,150,121.93,49,201,1
461,Ad-Hoc Sellers,Paid Social,0,150,141.89,8,58,1
462,Students,Paid Social,1,150,124.55,4,301,1
463,Homepreneurs,Organic,0,0,82.46,19,304,1
464,Ad-Hoc Sellers,Campus Activation,1,50,152.03,0,33,1
465,Homepreneurs,Campus Activation,1,50,166.35,24,26,1
466,Ad-Hoc Sellers,Campus Activation,1,50,141.58,0,12,1
467,Ad-Hoc Sellers,Organic,1,0,150.43,0,126,1
468,Ad-Hoc Sellers,Paid Social,1,150,142.86,0,72,1
469,Ad-Hoc Sellers,Paid Social,0,150,123.22,0,17,1
470,Ad-Hoc Sellers,Paid Social,1,150,172.23,6,196,1
471,Ad-Hoc Sellers,Campus Activation,1,50,109.66,1,165,1
472,Homepreneurs,Organic,1,0,149.9,11,365,0
473,Students,Paid Social,0,150,100.48,4,61,1
474,Ad-Hoc Sellers,Paid Social,1,150,151.61,0,12,1
